Liquidada,Descrição,Tipo,Cotações,Valor Apostado ($),Risco ($),Lucro/Perda ($),Status
28-out-21 08:32:43,08:25 Stratford Runwiththetide-Vencedor | ID Aposta Betfair 1:248711563277 | Feita 27-out-21 23:33:07 | RF 3.80 3.43,A favor,3.43,3.00, -- , -3.00 ,Perdidas
23-out-21 23:06:38,Agropecuario x Almirante Brown Empate -Resultado Final | ID Aposta Betfair 1:248259917125 | Feita 23-out-21 21:31:18,Contra,2.92,3.00, 5.76 , 3.00 ,Ganhas
23-out-21 22:31:50,Toronto FC x Montreal Impact Empate -Resultado Final | ID Aposta Betfair 1:248259810551 | Feita 23-out-21 21:28:48,Contra,2.66,3.00, 4.98 , -4.98 ,Perdidas
23-out-21 22:13:53,Rosario Central x Racing Club Empate -Resultado Final | ID Aposta Betfair 1:248259791910 | Feita 23-out-21 21:28:20,Contra,2.48,3.00, 4.44 , 3.00 ,Ganhas
23-out-21 22:09:19,Sportivo Luqueno x 12 de Octubre de Itaugua Empate -Resultado Final | ID Aposta Betfair 1:248257926720 | Feita 23-out-21 20:49:02,Contra,2.86,3.00, 5.58 , -5.58 ,Perdidas
23-out-21 22:01:08,Ind Medellin x Tolima Empate -Resultado Final | ID Aposta Betfair 1:248257909805 | Feita 23-out-21 20:48:35,Contra,2.24,3.00, 3.72 , -3.72 ,Perdidas
23-out-21 21:12:38,Monterrey x Necaxa Empate -Resultado Final | ID Aposta Betfair 1:248255586564 | Feita 23-out-21 20:08:05,Contra,2.46,3.00, 4.38 , 3.00 ,Ganhas
23-out-21 21:02:00,Columbus x New York Red Bulls Empate -Resultado Final | ID Aposta Betfair 1:248255612926 | Feita 23-out-21 20:08:40,Contra,2.60,3.00, 4.80 , 3.00 ,Ganhas
23-out-21 19:57:10,Solola FC x Guastatoya Empate -Resultado Final | ID Aposta Betfair 1:248251874064 | Feita 23-out-21 18:57:10,Contra,2.50,3.00, 4.50 , -4.50 ,Perdidas
23-out-21 19:55:16,Defensa y Justicia x CA Platense Empate -Resultado Final | ID Aposta Betfair 1:248251868001 | Feita 23-out-21 18:56:59,Contra,2.76,3.00, 5.28 , 3.00 ,Ganhas
23-out-21 18:53:05,Boca Juniors de Cali x Orsomarso Empate -Resultado Final | ID Aposta Betfair 1:248248189225 | Feita 23-out-21 17:58:51,Contra,2.52,3.00, 4.56 , 3.00 ,Ganhas
23-out-21 18:44:53,Seattle Sounders x Kansas City Empate -Resultado Final | ID Aposta Betfair 1:248246004259 | Feita 23-out-21 17:29:37,Contra,3.45,3.00, 7.35 , 3.00 ,Ganhas
23-out-21 17:54:02,Athletic Bilbao x Villarreal Empate -Resultado Final | ID Aposta Betfair 1:248239396251 | Feita 23-out-21 16:24:38,Contra,4.66,3.00, 10.98 , 3.00 ,Ganhas
23-out-21 17:54:02,Athletic Bilbao x Villarreal Empate -Resultado Final | ID Aposta Betfair 1:248245638862 | Feita 23-out-21 17:25:29,A favor,2.00,7.06, -- , -7.06 ,Perdidas
23-out-21 17:39:41,Bologna x Milan Milan-Resultado Final | ID Aposta Betfair 1:248238439492 | Feita 23-out-21 16:16:18,A favor,1.17,3.00, -- , 0.51 ,Ganhas
23-out-21 17:39:41,Bologna x Milan Milan-Resultado Final | ID Aposta Betfair 1:248238985220 | Feita 23-out-21 16:20:48,Contra,1.05,3.34, 0.17 , -0.17 ,Perdidas
20-out-21 21:00:47,Ceará x Palmeiras Palmeiras-Resultado Final | ID Aposta Betfair 1:247902483393 | Feita 20-out-21 20:07:34,A favor,1.48,3.00, -- , 1.44 ,Ganhas
19-out-21 22:57:51,Brooklyn Nets @ Milwaukee Bucks Milwaukee Bucks-Vencedor | ID Aposta Betfair 1:246847411820 | Feita 10-out-21 00:20:13,A favor,1.81,3.00, -- , 2.44 ,Ganhas
16-out-21 21:23:09,"Aucas x Univ Catolica (Ecu) Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247491891376 | Feita 16-out-21 21:09:41",A favor,1.62,3.00, -- , 1.86 ,Ganhas
16-out-21 21:06:53,"Monterrey x Leon Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247490790653 | Feita 16-out-21 20:52:09",A favor,1.50,3.00, -- , 1.50 ,Ganhas
16-out-21 20:59:57,"Criciuma x Botafogo PB Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247490534762 | Feita 16-out-21 20:47:52",A favor,1.37,1.71, -- , 0.62 ,Ganhas
16-out-21 20:55:29,"Colchagua CD x CDSC Iberia Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247490574630 | Feita 16-out-21 20:48:35",A favor,1.30,3.00, -- , -3.00 ,Perdidas
16-out-21 20:54:38,"Fernandez Vial x Magallanes Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247490253688 | Feita 16-out-21 20:43:49",A favor,1.33,3.00, -- , 0.99 ,Ganhas
16-out-21 20:52:27,"Chapecoense x Fortaleza Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247490219400 | Feita 16-out-21 20:43:22",A favor,1.43,3.00, -- , -3.00 ,Perdidas
16-out-21 20:00:15,"America de Cali S.A x Deportivo Cali Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247486880001 | Feita 16-out-21 19:46:56",A favor,1.43,3.00, -- , 1.29 ,Ganhas
16-out-21 19:56:19,"Nacional (Uru) x Boston River Menos de 4,5 gols-Mais/Menos de 4,5 gols | ID Aposta Betfair 1:247486979023 | Feita 16-out-21 19:48:29",A favor,1.43,3.00, -- , -3.00 ,Perdidas
16-out-21 19:54:48,"Tauro FC x Veraguas FC Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247486661270 | Feita 16-out-21 19:43:59",A favor,1.29,2.87, -- , 0.84 ,Ganhas
16-out-21 19:54:48,"Tauro FC x Veraguas FC Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247486721382 | Feita 16-out-21 19:44:34",A favor,1.27,0.13, -- , 0.04 ,Ganhas
16-out-21 19:52:22,"Inter de Queretaro FC v Inter Playa Del Carmen Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247486498037 | Feita 16-out-21 19:41:12",A favor,1.45,3.00, -- , 1.35 ,Ganhas
16-out-21 19:43:40,"Lanus x Banfield Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247486522496 | Feita 16-out-21 19:41:41",A favor,1.48,3.00, -- , -3.00 ,Perdidas
16-out-21 19:24:08,"Union Espanola x Curico Unido Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247485229141 | Feita 16-out-21 19:18:25",A favor,1.37,3.00, -- , -3.00 ,Perdidas
16-out-21 18:59:29,"Rodelindo Roman FC x Deportes Concepcion Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247483428616 | Feita 16-out-21 18:46:15",A favor,1.40,3.00, -- , 1.20 ,Ganhas
16-out-21 18:58:08,"Ituano x Paysandu Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247483412529 | Feita 16-out-21 18:46:01",A favor,1.40,3.00, -- , -3.00 ,Perdidas
16-out-21 18:42:07,"Los Angeles FC x San Jose Earthquakes Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247482900062 | Feita 16-out-21 18:37:31",A favor,1.73,3.00, -- , -3.00 ,Perdidas
16-out-21 18:32:31,"Vasco Da Gama x Coritiba Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247481902480 | Feita 16-out-21 18:16:29",A favor,1.42,3.00, -- , 1.26 ,Ganhas
16-out-21 18:12:39,"CD Trofense x Benfica Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247480830269 | Feita 16-out-21 17:58:01",A favor,1.71,3.00, -- , 2.13 ,Ganhas
16-out-21 17:52:58,"Real Sociedad x Mallorca Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247480000351 | Feita 16-out-21 17:44:36",A favor,1.32,3.00, -- , -3.00 ,Perdidas
16-out-21 17:52:56,"Santamarina x Almagro BA Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247479830008 | Feita 16-out-21 17:42:25",A favor,1.37,3.00, -- , 1.11 ,Ganhas
16-out-21 17:48:44,"Sporting Gijon x Alcorcon Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247479681598 | Feita 16-out-21 17:40:31",A favor,1.40,3.00, -- , -3.00 ,Perdidas
16-out-21 17:47:08,"PSV x PEC Zwolle Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247479981748 | Feita 16-out-21 17:44:20",A favor,1.59,3.00, -- , -3.00 ,Perdidas
